,Comment,Sentiment,Summary,% Positive Comments,% Negative Comments,% Neutral Comments,Average Sentiment,Titles,IDs
0,Let em fail.  We fell for that scam once.,"{'neg': 0.507, 'neu': 0.493, 'pos': 0.0, 'compound': -0.802}",Negative,31.70731707317073,56.09756097560976,12.195121951219512,-0.1675829268292683,Yellen says no federal bailout for Silicon Valley Bank,11pffw9
1,"Good. Rescue the depositors, shareholders are on their own. (but I do hope they sue the bejesus out of the bank's [former] executives)","{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.7876}",Positive,,,,,"Harriet Tubman monument unveiled, replacing Columbus statue in Newark, New Jersey",11p7jfg
2,"Sounds like Silicon Valley needs to reach down and find their bootstraps, they’re experienced, they should already know how to pick themselves back up, right?","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3818}",Positive,,,,,Charges dropped against man arrested for road rage shooting on I-95,11pcfkt
3,"It's so odd seeing so many wanting a bailout. And yes covering the depositors is a bailout. It was the same argument in 08 that was bad then and bad now. Banks need to bleed a little here and learn they cant keep ignoring their greedy high risk moves knowing they will get bailed out. Depositors also need to learn the lesson that putting all your money into one bank is dumb. This will just keep happening and in bigger allotments if it isn't left alone to die.

No bailouts.","{'neg': 0.258, 'neu': 0.682, 'pos': 0.06, 'compound': -0.9638}",Negative,,,,,Norfolk Southern balks at compensating homeowners in East Palestine,11pldex
4,"Good, Also, let's claw back the SVB bonuses that were given to the big shots at the bank, the day before they disclosed their mess to the outside world.   Let them clean up the mess they made.","{'neg': 0.108, 'neu': 0.693, 'pos': 0.199, 'compound': 0.6369}",Positive,,,,,Saudi oil giant Aramco posts record $161.1 billion profit for 2022,11p9v1l
5,Pull yourselves up by your designer bootstraps,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,,,,,,
6,"And the Gov shouldn't. This is Capitalism at work, there's no chance in hell that depositors and VC's weren't aware of what an unisured creditor was, and the risk it carries. Secured creditors will recieve their $250k this coming week, unsecured creditors are getting certificates and will recieve proceeds from the sale of SVB's assets as they are liquidated, exactly as expected for *unsecured creditors of a failed bank. W*elcome to Capitalism and Investing. VC's and start-up execs should have done due diligence and taken appropriate steps just like anyone else is expected to when investing.

A start-up CFO with 50M seed money for payroll could easily have put those funds into a stepped ladder of treasury bills to. mature when payroll or expected expenses were due rather than sitting 50M of liquid funds in a bank account secured only up to $250k. Poor risk and financial management from VC's and the start-up execs - will they learn from this, probably not. 

VC's and Equity investors can also look at their investments, evaluate the winners and losers and pick and choose which to continue floating through this period. Thats  how Capitalism works. Anyone pushing for a bailout is necessary to protect individual workers is completely disengenuous to the situation- fundementally the risk has been predictable to anyone who chose to review SVB's financial statements and there is no reason at all for tax payers to bail out VC's for execrising poor oversight of their investments. Must've missed the disclaimer that investing is inherently risky and carries the chance of a loss of investment while spending all day reviewing start-ups and investments to park their venture capital into...that must be embarassing. 

And no, Bill Akerman is entirely off the mark that this will cause a run on regional banks Monday AM, the fucking loony.","{'neg': 0.122, 'neu': 0.807, 'pos': 0.071, 'compound': -0.9376}",Negative,,,,,,
7,"A bailout will just make inflation worse, fuck SVB","{'neg': 0.571, 'neu': 0.429, 'pos': 0.0, 'compound': -0.7906}",Negative,,,,,,
8,16th largest bank. Do you need to be in the top 10 to get bailouts? And could you let us know which will get bailouts in advance so we can be sure to leave our over 250k funds there?,"{'neg': 0.029, 'neu': 0.864, 'pos': 0.107, 'compound': 0.504}",Positive,,,,,,
9,"The Fed screwed this up long ago. 

From 2012 to 2020 basically rates were so minimal that money was cheap. 

More cheap money so people bought stuff and the economy was “great” . Typical Americans happy. 

Covid hits and the Fed has no where to go so the govt dumps piles of money into the economy. Typical americas get low balled and corporations get excessive money. Typical corporations very happy and typically Americans somehow think they hit the lotto. 

This starts inflation though the inflation being experienced now seems to result in massive corporate profits.  Typical corporations and shareholders happy. Typical Americans wondering how an egg cost $$ now. 

Corporations seeing an opportunity keep the prices high for themselves and the shareholders. Typical Americans screwed and eggs overtake cocaine in value. Drug cartel not happy. 

Corporations keep raising prices because why not, blame it on inflation. Typical Americans screwed more time but cartels see an opening with depressed Americans buying more product so they’re happy. 

Fed needs to tame inflation more and raises rates again and again. Typical Americans screwed even more while corporations and shareholders rejoice. 

Fast forward a year. 

Idiots at this bank can’t manage wiping their own asses and buy a usually safe instrument on the low end. Investors aware. 

Fed increases rates more and the investment is dog poop. Investors not finally not happy. 

VCs smell blood in the water and pounce in typical style to screw over anyone that’s not them. VC happy everyone else screwed. 

Bank drops a duce and that’s that when the call for a govt bailout are heard and typical Americans are screwed, investors unsure, VC firms that started the run could give a shit and corporations somehow will use this to further increase prices while them and some VC swoop in on potential fire sale ventures. Lambo time ….

Wash, rinse, repeat. 

I stayed at a Holiday Inn Express to this is all legit …..","{'neg': 0.131, 'neu': 0.771, 'pos': 0.097, 'compound': -0.8974}",Negative,,,,,,
